New_ID,Entity_Type,Current_ID,Name,Description,Department,File_Path,Status
PRM-001,Prompt,PRM-VT-001,Video Transcription Custom Instructions,Core transcription methodology with structured extraction format for taxonomy,AID,ENTITIES/PROMPTS/PROMPTS/Transcription/Video_Transcription_Custom_Instructions.md,Active
PRM-002,Prompt,PRM-VT-002,Video Naming Business Alternatives,Convert casual/clickbait video titles to professional taxonomy-friendly alternatives,AID,ENTITIES/PROMPTS/PROMPTS/Transcription/Video_Naming_Business_Alternatives_Prompt.md,Active
PRM-003,Prompt,PRM-VT-003,Video Analysis Prompt,Step-by-step guide for analyzing transcriptions and extracting taxonomy elements,AID,ENTITIES/PROMPTS/PROMPTS/Analysis/Video_Analysis_Prompt.md,Active
PRM-004,Prompt,PRM-VT-004,Objects Library Extraction Prompt,Systematic extraction of deliverables outputs and tangible items with cross-referencing,AID,ENTITIES/PROMPTS/PROMPTS/Analysis/Objects_Library_Extraction_Prompt.md,Active
PRM-005,Prompt,PRM-TI-001,Taxonomy Analysis and Updates Prompt,Complete end-to-end workflow for video transcription to full taxonomy integration,AID,ENTITIES/PROMPTS/PROMPTS/Taxonomy_Integration/Taxonomy_Analysis_and_Updates_Prompt.md,Active
PRM-006,Prompt,PRM-LP-001,Tools Collection and Matching Prompt,Tool discovery and validation methodology for maintaining Tools library,AID,ENTITIES/PROMPTS/Library_Processing/Tools_Collection_and_Matching_Prompt.md,Active
PRM-007,Prompt,PRM-LP-002,Products Integration Prompt,Process raw product lists with AI-first tool substitution principles,AID,ENTITIES/PROMPTS/Library_Processing/Products_Integration_Prompt.md,Active
PRM-008,Prompt,PRM-LP-003,Task Manager Entity Filling Prompt,Guide for filling task manager entities with structured data,AID,ENTITIES/PROMPTS/Library_Processing/Task_Manager_Entity_Filling_Prompt.md,Active
PRM-009,Prompt,PRM-RE-001,VSCode Agent HQ Research Prompt,Direct external AI researchers to capture VS Code Agent HQ launch details in taxonomy-ready format,AID,ENTITIES/PROMPTS/Research_Prompts/VSCode_Agent_HQ_Research_Prompt.md,Active
PRM-010,Prompt,PRM-RE-002,YouTube AI HR Tutorials Research Prompt,Research prompt for YouTube AI HR automation tutorials,HRM,ENTITIES/PROMPTS/Research_Prompts/YouTube_AI_HR_Tutorials_Research_Prompt.md,Active
PRM-011,Prompt,PRM-RE-003,YouTube AI Tools Daily Research Prompt,Daily research prompt for YouTube AI tools and updates,AID,ENTITIES/PROMPTS/Research_Prompts/YouTube_AI_Tools_Daily_Research_Prompt.md,Active
PRM-012,Prompt,PRM-RE-004,YouTube HR Automation Research Prompt,Research prompt for YouTube HR automation content,HRM,ENTITIES/PROMPTS/Research_Prompts/YouTube_HR_Automation_Research_Prompt.md,Active
PRM-013,Prompt,PRM-RE-005,Sales Department Research Prompt,Research prompt for sales department workflows and tools,SLS,ENTITIES/PROMPTS/Research_Prompts/Sales_Department_Research_Prompt.md,Active
PRM-014,Prompt,PRM-RE-006,YouTube Video Research RemoteHelpers Nov2025,Research prompt for RemoteHelpers YouTube video content November 2025,AID,ENTITIES/PROMPTS/Research_Prompts/YouTube_Video_Research_Prompt_RemoteHelpers_Nov2025.md,Active
PRM-015,Prompt,PRM-HR-001,CV Parser v1,Extract 21 fields from candidate resumes in TSV format for CRM entry,HRM,ENTITIES/PROMPTS/HR_Operations/CV_Parser_v1.md,Active
PRM-016,Prompt,PRM-HR-002,Communication Templates Prompt,Guide professional candidate communication with standardized templates,HRM,ENTITIES/PROMPTS/HR_Operations/Communication_Templates_Prompt.md,Active
PRM-017,Prompt,PRM-HR-003,CRM Data Entry Prompt,Guide 3-step process for parsing resumes and entering data into CRM system,HRM,ENTITIES/PROMPTS/HR_Operations/CRM_Data_Entry_Prompt.md,Active
PRM-018,Prompt,PRM-HR-004,Interview Conductor Prompt,Guide interview process evaluation contracts and onboarding workflows,HRM,ENTITIES/PROMPTS/HR_Operations/Interview_Conductor_Prompt.md,Active
PRM-019,Prompt,PRM-HR-005,Job Sites Deep Research Prompt,Deep research prompt for job sites and recruitment platforms,HRM,ENTITIES/PROMPTS/HR_Operations/Job_Sites_Deep_Research_Prompt.md,Active
PRM-020,Prompt,PRM-OW-001,Document Finished Project,Guide AI assistants to create comprehensive completion reports for finished projects,AID,ENTITIES/PROMPTS/Operational_Workflows/PROMPT_Document_Finished_Project.md,Active
PRM-021,Prompt,PRM-DR-001,AI Daily Report,Daily report prompt for AI department,AID,ENTITIES/PROMPTS/Daily_Reports/Department_Prompts/PROMPT_AI_Daily_Report.md,Active
PRM-022,Prompt,PRM-DR-002,Development Daily Report,Daily report prompt for Development department,DEV,ENTITIES/PROMPTS/Daily_Reports/Department_Prompts/PROMPT_Dev_Daily_Report.md,Active
